flightId,timestamp,lat,lon,probability
35,10:02:30,49.01359,9.08907,0.025625866
35,10:02:31,49.0137,9.0893,0.030175231
35,10:02:32,49.01377,9.08955,0.027866188
35,10:02:33,49.01379,9.08982,0.024653845
35,10:02:34,49.01376,9.09009,0.020551857
35,10:02:35,49.0137,9.09034,0.019167129
35,10:02:36,49.0136,9.09057,0.016714301
35,10:02:37,49.01347,9.09078,0.019351143
35,10:02:38,49.01332,9.09095,0.020064646
35,10:02:39,49.01314,9.0911,0.02073616
35,10:02:40,49.01294,9.09122,0.028720982
35,10:02:41,49.01272,9.09131,0.032158278
35,10:02:43,49.01225,9.09141,0.050247803
35,10:02:44,49.012,9.09141,0.068680845
35,10:02:45,49.01174,9.0914,0.09171798
35,10:02:46,49.01148,9.09136,0.09619972
35,10:02:47,49.01121,9.09131,0.12502806
35,10:02:48,49.01094,9.09126,0.13025032
35,10:02:49,49.01066,9.09121,0.15971132
35,10:02:50,49.01038,9.09116,0.15382525
35,10:02:51,49.01011,9.09111,0.16731589
35,10:02:52,49.00983,9.09106,0.15060644
35,10:02:53,49.00956,9.09102,0.15670729
35,10:02:54,49.0093,9.09098,0.13228893
35,10:02:55,49.00905,9.09095,0.13121064
35,10:02:56,49.0088,9.09093,0.13807185
35,10:02:57,49.00855,9.09091,0.12116806
35,10:02:59,49.00808,9.09089,0.11894858
35,10:03:00,49.00784,9.09089,0.13088807
35,10:03:01,49.0076,9.09089,0.1332909
35,10:03:02,49.00735,9.0909,0.15097746
35,10:03:03,49.0071,9.0909,0.13893077
35,10:03:04,49.00685,9.09086,0.13662806
35,10:03:05,49.00659,9.09077,0.10748252
35,10:03:06,49.00633,9.09061,0.10311826
35,10:03:07,49.00609,9.09037,0.09306076
35,10:03:08,49.00589,9.09006,0.091852136
35,10:03:09,49.00573,9.08968,0.09411874
35,10:03:10,49.00561,9.08926,0.10264632
35,10:03:11,49.00554,9.08883,0.09660069
35,10:03:12,49.00552,9.08839,0.102987796
35,10:03:13,49.00554,9.08795,0.11233496
35,10:03:15,49.00565,9.0871,0.18699901
35,10:03:16,49.0057,9.08668,0.19666834
35,10:03:17,49.00577,9.08626,0.20617038
35,10:03:18,49.00583,9.08586,0.22194254
35,10:03:19,49.0059,9.08544,0.24231002
35,10:03:20,49.00596,9.08503,0.25580537
35,10:03:21,49.00604,9.08462,0.2670482
35,10:03:22,49.00611,9.08421,0.30120033
35,10:03:23,49.00618,9.0838,0.33265874
35,10:03:24,49.00626,9.08339,0.38162377
35,10:03:25,49.00633,9.08299,0.41482356
35,10:03:26,49.00641,9.08258,0.4001697
35,10:03:27,49.00647,9.08218,0.399223
35,10:03:28,49.00654,9.08178,0.46751747
35,10:03:29,49.0066,9.08138,0.52710944
35,10:03:31,49.00671,9.08057,0.6295575
35,10:03:32,49.00677,9.08014,0.67150223
35,10:03:33,49.00681,9.07971,0.7105825
35,10:03:34,49.00686,9.07928,0.73933685
35,10:03:35,49.0069,9.07882,0.7518299
35,10:03:36,49.00694,9.07837,0.76246345
35,10:03:37,49.00697,9.07791,0.7656066
35,10:03:38,49.007,9.07746,0.7780694
35,10:03:39,49.00703,9.077,0.7885259
35,10:03:40,49.00706,9.07654,0.7926753
35,10:03:41,49.00708,9.0761,0.7971904
35,10:03:42,49.0071,9.07565,0.7937091
35,10:03:43,49.00713,9.07521,0.79482365
35,10:03:44,49.00715,9.07477,0.80087787
35,10:03:45,49.00718,9.07434,0.8090327
35,10:03:47,49.00723,9.07347,0.829671
35,10:03:48,49.00726,9.07304,0.8367871
35,10:03:49,49.00728,9.07261,0.8472489
35,10:03:50,49.00731,9.07217,0.8527085
35,10:03:51,49.00732,9.07174,0.861194
35,10:03:52,49.00734,9.0713,0.8698693
35,10:03:53,49.00735,9.07087,0.8768816
35,10:03:54,49.00736,9.07044,0.8849352
35,10:03:55,49.00737,9.07001,0.8918871
35,10:03:56,49.00736,9.06958,0.90028703
35,10:03:57,49.00732,9.06917,0.90499306
35,10:03:58,49.00725,9.06876,0.905756
35,10:03:59,49.00715,9.06837,0.9068998
35,10:04:00,49.00702,9.068,0.9126679
35,10:04:01,49.00685,9.06765,0.91852593
35,10:04:03,49.00646,9.06698,0.92964965
35,10:04:04,49.00625,9.06666,0.9366625
35,10:04:05,49.00601,9.06635,0.9409032
35,10:04:06,49.00576,9.06606,0.9452635
35,10:04:07,49.00552,9.06577,0.9485653
35,10:04:08,49.00526,9.06549,0.9509165
35,10:04:09,49.00502,9.06521,0.9513839
35,10:04:10,49.00478,9.06494,0.9511531
35,10:04:11,49.00455,9.06467,0.9491348
35,10:04:12,49.00432,9.06445,0.95193565
35,10:04:13,49.00409,9.06427,0.9511204
35,10:04:14,49.00386,9.06416,0.94766784
35,10:04:15,49.00363,9.06413,0.9475896
35,10:04:16,49.00342,9.06417,0.9457527
35,10:04:17,49.00322,9.06429,0.9435724
35,10:04:19,49.00293,9.06474,0.9374869
35,10:04:20,49.00286,9.06506,0.934908
35,10:04:21,49.00283,9.06542,0.9328102
35,10:04:22,49.00282,9.0658,0.93318295
35,10:04:24,49.00283,9.06656,0.9337414
35,10:04:25,49.00282,9.06691,0.93136245
35,10:04:26,49.00281,9.06725,0.93358475
35,10:04:27,49.00279,9.06757,0.9362653
35,10:04:28,49.00277,9.06787,0.9449333
35,10:04:29,49.00274,9.06817,0.9506064
35,10:04:30,49.00271,9.06846,0.9500236
35,10:04:31,49.00267,9.06874,0.95093113
35,10:04:32,49.00263,9.06903,0.95666045
35,10:04:33,49.00258,9.0693,0.96089494
35,10:04:35,49.00248,9.06986,0.96658915
35,10:04:36,49.00243,9.07014,0.9723945
35,10:04:37,49.00239,9.07042,0.975442
35,10:04:38,49.00235,9.0707,0.9768849
35,10:04:39,49.00231,9.07098,0.977444
35,10:04:40,49.00227,9.07126,0.9785393
35,10:04:41,49.00224,9.07154,0.9803395
35,10:04:42,49.00221,9.07181,0.98251206
35,10:04:43,49.00218,9.07208,0.98343676
35,10:04:44,49.00215,9.07236,0.98371094
35,10:04:45,49.00213,9.07264,0.9838984
35,10:04:46,49.0021,9.07292,0.9825748
35,10:04:47,49.00208,9.0732,0.98197037
35,10:04:48,49.00205,9.07348,0.9814785
35,10:04:49,49.00203,9.07376,0.98097223
35,10:04:51,49.00196,9.07432,0.9757026
35,10:04:52,49.00191,9.07458,0.9788648
35,10:04:53,49.00187,9.07485,0.977228
35,10:04:54,49.00182,9.07511,0.9719113
35,10:04:55,49.00178,9.07538,0.96163106
35,10:04:56,49.00174,9.07565,0.9260235
35,10:04:57,49.00171,9.07592,0.8629058
35,10:04:58,49.00169,9.07619,0.6934525
35,10:04:59,49.00166,9.07647,0.4732778
35,10:05:00,49.00164,9.07676,0.29863548
35,10:05:01,49.00163,9.07706,0.2124734
35,10:05:02,49.00161,9.07737,0.14789943
35,10:05:03,49.0016,9.07768,0.13152589
35,10:05:04,49.00158,9.07799,0.08424333
35,10:05:05,49.00156,9.07831,0.051180318
35,10:05:07,49.00149,9.07893,0.015116253
35,10:05:08,49.00145,9.07922,0.008936527
35,10:05:09,49.00141,9.07952,0.00457068
35,10:05:10,49.00138,9.07981,0.0021527
35,10:05:11,49.00135,9.0801,0.0011655388
35,10:05:11,49.00135,9.0801,0.0011655388
